,hour,2019-09-02,2019-09-03,2019-09-04,2019-09-05,2019-09-06
0,07:00:00,0.0,0.0,6.0,1.0,3.0
1,07:01:00,0.0,0.0,1.0,3.0,2.0
2,07:02:00,0.0,2.0,0.0,0.0,2.0
3,07:03:00,2.0,1.0,7.0,1.0,1.0
4,07:04:00,6.0,0.0,2.0,2.0,0.0
5,07:05:00,0.0,0.0,0.0,0.0,0.0
6,07:06:00,6.0,2.0,1.0,0.0,3.0
7,07:07:00,2.0,3.0,0.0,3.0,0.0
8,07:08:00,0.0,0.0,2.0,2.0,3.0
9,07:09:00,0.0,0.0,0.0,0.0,3.0
10,07:10:00,0.0,5.0,1.0,0.0,0.0
11,07:11:00,1.0,3.0,0.0,1.0,2.0
12,07:12:00,3.0,2.0,2.0,9.0,3.0
13,07:13:00,2.0,2.0,3.0,2.0,0.0
14,07:14:00,2.0,5.0,2.0,4.0,0.0
15,07:15:00,0.0,3.0,3.0,3.0,0.0
16,07:16:00,5.0,0.0,0.0,2.0,0.0
17,07:17:00,5.0,0.0,3.0,1.0,0.0
18,07:18:00,1.0,0.0,0.0,3.0,1.0
19,07:19:00,0.0,2.0,1.0,5.0,5.0
20,07:20:00,1.0,2.0,7.0,1.0,3.0
21,07:21:00,0.0,2.0,0.0,0.0,0.0
22,07:22:00,2.0,3.0,2.0,4.0,2.0
23,07:23:00,0.0,3.0,0.0,0.0,1.0
24,07:24:00,0.0,0.0,1.0,1.0,1.0
25,07:25:00,0.0,3.0,0.0,3.0,2.0
26,07:26:00,8.0,2.0,4.0,1.0,0.0
27,07:27:00,3.0,1.0,3.0,4.0,6.0
28,07:28:00,2.0,5.0,2.0,0.0,1.0
29,07:29:00,2.0,0.0,4.0,0.0,0.0
30,07:30:00,6.0,0.0,0.0,3.0,0.0
31,07:31:00,0.0,4.0,1.0,1.0,2.0
32,07:32:00,0.0,4.0,0.0,6.0,1.0
33,07:33:00,3.0,0.0,1.0,2.0,3.0
34,07:34:00,0.0,0.0,0.0,6.0,0.0
35,07:35:00,0.0,2.0,0.0,5.0,3.0
36,07:36:00,0.0,3.0,4.0,1.0,2.0
37,07:37:00,0.0,0.0,1.0,1.0,2.0
38,07:38:00,0.0,1.0,2.0,0.0,7.0
39,07:39:00,1.0,0.0,0.0,3.0,2.0
40,07:40:00,3.0,0.0,3.0,0.0,1.0
41,07:41:00,0.0,4.0,0.0,0.0,5.0
42,07:42:00,4.0,1.0,0.0,3.0,0.0
43,07:43:00,5.0,4.0,0.0,0.0,0.0
