location,queue_no,x,y
drinks,0,75,150
drinks,1,75,180
drinks,2,75,210
drinks,3,75,240
drinks,4,75,270
drinks,5,75,300
drinks,6,75,330
drinks,7,75,360
drinks,8,75,390
drinks,9,75,420
drinks,10,170,150
drinks,11,170,180
drinks,12,170,210
drinks,13,170,240
drinks,14,170,270
drinks,15,170,300
drinks,16,170,330
drinks,17,170,360
drinks,18,170,390
drinks,19,170,420
dairy,0,305,150
dairy,1,305,180
dairy,2,305,210
dairy,3,305,240
dairy,4,305,270
dairy,5,305,300
dairy,6,305,330
dairy,7,305,360
dairy,8,305,390
dairy,9,305,420
dairy,10,400,150
dairy,11,400,180
dairy,12,400,210
dairy,13,400,240
dairy,14,400,270
dairy,15,400,300
dairy,16,400,330
dairy,17,400,360
dairy,18,400,390
dairy,19,400,420
spices,0,540,150
spices,1,540,180
spices,2,540,210
spices,3,540,240
spices,4,540,270
spices,5,540,300
spices,6,540,330
spices,7,540,360
spices,8,540,390
spices,9,540,420
spices,10,630,150
spices,11,630,180
spices,12,630,210
spices,13,630,240
spices,14,630,270
spices,15,630,300
spices,16,630,330
spices,17,630,360
spices,18,630,390
spices,19,630,420
fruit,0,770,150
fruit,1,770,180
fruit,2,770,210
fruit,3,770,240
fruit,4,770,270
fruit,5,770,300
fruit,6,770,330
fruit,7,770,360
fruit,8,770,390
fruit,9,770,420
fruit,10,860,150
fruit,11,860,180
fruit,12,860,210
fruit,13,860,240
fruit,14,860,270
fruit,15,860,300
fruit,16,860,330
fruit,17,860,360
fruit,18,860,390
fruit,19,860,420
checkout0,0,105,580
checkout0,1,105,560
checkout0,2,105,540
checkout0,3,105,520
checkout0,4,105,500
checkout0,5,105,480
checkout0,6,105,460
checkout0,7,105,440
checkout0,8,105,420
checkout0,9,105,400
checkout0,10,105,380
checkout0,11,105,360
checkout0,12,105,340
checkout0,13,105,320
checkout0,14,105,300
checkout0,15,105,280
checkout0,16,105,260
checkout0,17,105,240
checkout0,18,105,220
checkout0,19,105,200
checkout0,20,105,180
checkout0,21,105,160
checkout0,22,105,140
checkout0,23,105,120
checkout0,24,105,100
checkout1,0,245,580
checkout1,1,245,560
checkout1,2,245,540
checkout1,3,245,520
checkout1,4,245,500
checkout1,5,245,480
checkout1,6,245,460
checkout1,7,245,440
checkout1,8,245,420
checkout1,9,245,400
checkout1,10,245,380
checkout1,11,245,360
checkout1,12,245,340
checkout1,13,245,320
checkout1,14,245,300
checkout1,15,245,280
checkout1,16,245,260
checkout1,17,245,240
checkout1,18,245,220
checkout1,19,245,200
checkout1,20,245,180
checkout1,21,245,160
checkout1,22,245,140
checkout1,23,245,120
checkout1,24,245,100
checkout2,0,383,580
checkout2,1,383,560
checkout2,2,383,540
checkout2,3,383,520
checkout2,4,383,500
checkout2,5,383,480
checkout2,6,383,460
checkout2,7,383,440
checkout2,8,383,420
checkout2,9,383,400
checkout2,10,383,380
checkout2,11,383,360
checkout2,12,383,340
checkout2,13,383,320
checkout2,14,383,300
checkout2,15,383,280
checkout2,16,383,260
checkout2,17,383,240
checkout2,18,383,220
checkout2,19,383,200
checkout2,20,383,180
checkout2,21,383,160
checkout2,22,383,140
checkout2,23,383,120
checkout2,24,383,100
checkout3,0,523,580
checkout3,1,523,560
checkout3,2,523,540
checkout3,3,523,520
checkout3,4,523,500
checkout3,5,523,480
checkout3,6,523,460
checkout3,7,523,440
checkout3,8,523,420
checkout3,9,523,400
checkout3,10,523,380
checkout3,11,523,360
checkout3,12,523,340
checkout3,13,523,320
checkout3,14,523,300
checkout3,15,523,280
checkout3,16,523,260
checkout3,17,523,240
checkout3,18,523,220
checkout3,19,523,200
checkout3,20,523,180
checkout3,21,523,160
checkout3,22,523,140
checkout3,23,523,120
checkout3,24,523,100
checkout4,0,660,580
checkout4,1,660,560
checkout4,2,660,540
checkout4,3,660,520
checkout4,4,660,500
checkout4,5,660,480
checkout4,6,660,460
checkout4,7,660,440
checkout4,8,660,420
checkout4,9,660,400
checkout4,10,660,380
checkout4,11,660,360
checkout4,12,660,340
checkout4,13,660,320
checkout4,14,660,300
checkout4,15,660,280
checkout4,16,660,260
checkout4,17,660,240
checkout4,18,660,220
checkout4,19,660,200
checkout4,20,660,180
checkout4,21,660,160
checkout4,22,660,140
checkout4,23,660,120
checkout4,24,660,100
exit,0,770,700
