,customer_ID,event_no,time,duration,location,queue_no
0,0,0,07:00:00,7,dairy,16
1,0,1,07:07:00,1,fruit,17
2,0,2,07:08:00,4,dairy,9
3,0,3,07:12:00,3,checkout3,0
4,0,4,07:15:00,1,exit,0
5,1,0,07:00:00,2,fruit,0
6,1,1,07:02:00,8,checkout4,0
7,1,2,07:10:00,1,exit,0
8,2,0,07:03:00,1,fruit,4
9,2,1,07:04:00,2,spices,10
10,2,2,07:06:00,1,drinks,19
11,2,3,07:07:00,2,checkout1,0
12,2,4,07:09:00,1,exit,0
13,3,0,07:03:00,6,dairy,12
14,3,1,07:09:00,1,drinks,16
15,3,2,07:10:00,1,fruit,7
16,3,3,07:11:00,1,checkout4,0
17,3,4,07:12:00,1,exit,0
18,4,0,07:03:00,1,spices,2
19,4,1,07:04:00,1,dairy,14
20,4,2,07:05:00,1,checkout2,0
21,4,3,07:06:00,1,exit,0
22,5,0,07:06:00,3,spices,14
23,5,1,07:09:00,1,fruit,19
24,5,2,07:10:00,2,checkout1,0
25,5,3,07:12:00,1,exit,0
26,6,0,07:06:00,1,fruit,19
27,6,1,07:07:00,4,drinks,18
28,6,2,07:11:00,1,spices,4
29,6,3,07:12:00,2,drinks,4
30,6,4,07:14:00,2,fruit,11
31,6,5,07:16:00,2,spices,2
32,6,6,07:18:00,2,dairy,1
33,6,7,07:20:00,4,fruit,16
34,6,8,07:24:00,2,spices,1
35,6,9,07:26:00,2,checkout3,0
36,6,10,07:28:00,1,exit,0
37,7,0,07:06:00,1,drinks,15
38,7,1,07:07:00,2,fruit,18
39,7,2,07:09:00,2,dairy,12
40,7,3,07:11:00,1,checkout2,0
41,7,4,07:12:00,1,exit,0
42,8,0,07:08:00,1,spices,13
43,8,1,07:09:00,5,dairy,15
44,8,2,07:14:00,2,checkout4,0
45,8,3,07:16:00,1,exit,0
46,9,0,07:08:00,3,fruit,17
47,9,1,07:11:00,2,checkout0,0
48,9,2,07:13:00,1,exit,0
49,10,0,07:09:00,5,drinks,8
50,10,1,07:14:00,4,checkout0,0
51,10,2,07:18:00,1,exit,0
52,11,0,07:11:00,1,fruit,8
53,11,1,07:12:00,1,spices,1
54,11,2,07:13:00,2,dairy,9
55,11,3,07:15:00,5,spices,11
56,11,4,07:20:00,1,dairy,12
57,11,5,07:21:00,1,checkout3,1
58,11,6,07:22:00,3,checkout3,0
59,11,7,07:25:00,1,exit,0
60,12,0,07:11:00,1,fruit,16
61,12,1,07:12:00,1,checkout4,0
62,12,2,07:13:00,1,exit,0
63,13,0,07:11:00,1,fruit,19
64,13,1,07:12:00,11,dairy,0
65,13,2,07:23:00,4,checkout2,0
66,13,3,07:27:00,1,exit,0
67,14,0,07:12:00,7,fruit,6
68,14,1,07:19:00,5,checkout0,0
69,14,2,07:24:00,1,exit,0
70,15,0,07:13:00,1,fruit,3
71,15,1,07:14:00,1,checkout2,0
72,15,2,07:15:00,1,exit,0
73,16,0,07:14:00,1,spices,4
74,16,1,07:15:00,2,dairy,16
75,16,2,07:17:00,3,fruit,7
76,16,3,07:20:00,2,checkout3,0
77,16,4,07:22:00,1,exit,0
78,17,0,07:14:00,5,fruit,15
79,17,1,07:19:00,1,checkout3,0
80,17,2,07:20:00,1,exit,0
81,18,0,07:14:00,2,fruit,16
82,18,1,07:16:00,2,checkout2,0
83,18,2,07:18:00,1,exit,0
84,19,0,07:15:00,3,dairy,7
85,19,1,07:18:00,1,checkout2,0
86,19,2,07:19:00,1,exit,0
87,20,0,07:16:00,3,fruit,17
88,20,1,07:19:00,2,checkout2,0
89,20,2,07:21:00,1,exit,0
90,21,0,07:16:00,4,fruit,3
91,21,1,07:20:00,1,dairy,10
92,21,2,07:21:00,4,checkout4,1
93,21,3,07:25:00,5,checkout4,0
94,21,4,07:30:00,1,exit,0
95,22,0,07:16:00,2,fruit,8
96,22,1,07:18:00,2,spices,14
97,22,2,07:20:00,3,dairy,13
98,22,3,07:23:00,1,fruit,9
99,22,4,07:24:00,2,dairy,5
100,22,5,07:26:00,1,spices,8
101,22,6,07:27:00,1,dairy,16
102,22,7,07:28:00,1,fruit,11
103,22,8,07:29:00,3,dairy,12
104,22,9,07:32:00,1,drinks,8
105,22,10,07:33:00,2,fruit,16
106,22,11,07:35:00,2,checkout0,0
107,22,12,07:37:00,1,exit,0
108,23,0,07:16:00,1,fruit,11
109,23,1,07:17:00,4,dairy,11
110,23,2,07:21:00,1,spices,15
111,23,3,07:22:00,1,checkout2,0
112,23,4,07:23:00,1,exit,0
113,24,0,07:16:00,5,drinks,10
114,24,1,07:21:00,1,fruit,3
115,24,2,07:22:00,2,dairy,7
116,24,3,07:24:00,1,spices,4
117,24,4,07:25:00,1,drinks,10
118,24,5,07:26:00,1,checkout4,0
119,24,6,07:27:00,1,exit,0
120,25,0,07:17:00,2,fruit,10
121,25,1,07:19:00,1,spices,5
122,25,2,07:20:00,1,checkout2,1
123,25,3,07:21:00,2,checkout2,0
124,25,4,07:23:00,1,exit,0
125,26,0,07:17:00,3,spices,9
126,26,1,07:20:00,8,dairy,2
127,26,2,07:28:00,1,fruit,4
128,26,3,07:29:00,1,checkout4,0
129,26,4,07:30:00,1,exit,0
130,27,0,07:17:00,1,spices,0
131,27,1,07:18:00,9,checkout1,0
132,27,2,07:27:00,1,exit,0
133,28,0,07:17:00,1,spices,13
134,28,1,07:18:00,7,checkout4,0
135,28,2,07:25:00,1,exit,0
136,29,0,07:18:00,6,fruit,12
137,29,1,07:24:00,2,checkout3,0
138,29,2,07:26:00,1,exit,0
139,30,0,07:18:00,7,dairy,18
140,30,1,07:25:00,1,checkout0,1
141,30,2,07:26:00,2,checkout0,0
142,30,3,07:28:00,1,exit,0
143,31,0,07:19:00,7,dairy,4
144,31,1,07:26:00,4,fruit,12
145,31,2,07:30:00,2,checkout1,0
146,31,3,07:32:00,1,exit,0
147,32,0,07:19:00,1,fruit,14
148,32,1,07:20:00,7,checkout1,1
149,32,2,07:27:00,9,checkout1,0
150,32,3,07:36:00,1,exit,0
151,33,0,07:20:00,4,fruit,11
152,33,1,07:24:00,2,checkout0,0
153,33,2,07:26:00,1,exit,0
154,34,0,07:20:00,2,dairy,5
155,34,1,07:22:00,3,fruit,13
156,34,2,07:25:00,3,dairy,12
157,34,3,07:28:00,2,checkout3,0
158,34,4,07:30:00,1,exit,0
159,35,0,07:20:00,1,fruit,8
160,35,1,07:21:00,4,drinks,14
161,35,2,07:25:00,2,spices,0
162,35,3,07:27:00,1,checkout0,0
163,35,4,07:28:00,1,exit,0
164,36,0,07:20:00,6,fruit,15
165,36,1,07:26:00,1,spices,13
166,36,2,07:27:00,3,checkout2,0
167,36,3,07:30:00,1,exit,0
168,37,0,07:21:00,3,spices,1
169,37,1,07:24:00,5,drinks,16
170,37,2,07:29:00,2,checkout0,0
171,37,3,07:31:00,1,exit,0
172,38,0,07:22:00,2,fruit,18
173,38,1,07:24:00,2,drinks,0
174,38,2,07:26:00,1,checkout4,1
175,38,3,07:27:00,2,checkout4,0
176,38,4,07:29:00,1,exit,0
177,39,0,07:22:00,2,drinks,2
178,39,1,07:24:00,1,spices,16
179,39,2,07:25:00,5,drinks,7
180,39,3,07:30:00,2,fruit,7
181,39,4,07:32:00,2,checkout2,0
182,39,5,07:34:00,1,exit,0
183,40,0,07:25:00,2,fruit,4
184,40,1,07:27:00,4,dairy,4
185,40,2,07:31:00,3,drinks,12
186,40,3,07:34:00,1,spices,12
187,40,4,07:35:00,1,dairy,12
188,40,5,07:36:00,3,checkout4,0
189,40,6,07:39:00,1,exit,0
190,41,0,07:26:00,4,spices,4
191,41,1,07:30:00,1,checkout4,0
192,41,2,07:31:00,1,exit,0
193,42,0,07:26:00,2,fruit,0
194,42,1,07:28:00,2,spices,3
195,42,2,07:30:00,1,fruit,18
196,42,3,07:31:00,1,dairy,14
197,42,4,07:32:00,5,checkout1,0
198,42,5,07:37:00,1,exit,0
199,43,0,07:26:00,1,fruit,6
200,43,1,07:27:00,3,checkout2,1
201,43,2,07:30:00,4,checkout2,0
202,43,3,07:34:00,1,exit,0
203,44,0,07:26:00,3,fruit,8
204,44,1,07:29:00,1,checkout1,0
205,44,2,07:30:00,1,exit,0
206,45,0,07:26:00,3,dairy,3
207,45,1,07:29:00,1,spices,5
208,45,2,07:30:00,2,drinks,0
209,45,3,07:32:00,2,checkout3,0
210,45,4,07:34:00,1,exit,0
211,46,0,07:27:00,1,spices,1
212,46,1,07:28:00,3,fruit,6
213,46,2,07:31:00,2,checkout4,0
